City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
New,6.6518,-10.5932,77.0,94,20,3.04,LR,1613005169
Upernavik,72.7868,-56.1549,-2.63,91,100,13.04,GL,1613005169
Isil'kul',54.9109,71.2728,-27.15,84,1,3.91,RU,1613005169
Ribeira,42.7461,-8.4439,50.0,100,75,9.22,ES,1613005169
Souillac,-20.5167,57.5167,78.8,73,40,9.22,MU,1613005169
Hermanus,-34.4187,19.2345,68.0,86,0,8.52,ZA,1613005169
Bluff,-46.6,168.3333,53.38,86,100,31.18,NZ,1613005169
Ténenkou,14.4572,-4.9169,75.0,18,9,9.51,ML,1613005169
Ermelo,-26.5333,29.9833,60.85,89,100,4.34,ZA,1613005170
Mataura,-46.1927,168.8643,50.7,87,100,12.33,NZ,1613005170
Ushuaia,-54.8,-68.3,71.6,33,40,12.66,AR,1613005170
Asău,46.4333,26.4,36.0,76,100,3.2,RO,1613005170
Tasiilaq,65.6145,-37.6368,10.4,44,60,4.61,GL,1613005170
Omsukchan,62.5333,155.8,7.48,91,100,5.35,RU,1613005170
Busselton,-33.65,115.3333,63.0,71,75,1.99,AU,1613005170
Tuatapere,-46.1333,167.6833,52.75,84,100,15.23,NZ,1613005170
Saint-François,46.4154,3.9054,30.2,86,90,5.75,FR,1613005170
Paamiut,61.994,-49.6678,20.03,82,0,6.51,GL,1613005170
Tautira,-17.7333,-149.15,82.4,61,75,9.22,PF,1613005171
Cayenne,4.9333,-52.3333,75.2,100,90,3.44,GF,1613005171
Grindavik,63.8424,-22.4338,35.6,80,75,13.8,IS,1613005171
Oktyabr'skiy,54.4815,53.471,0.21,92,100,4.92,RU,1613005171
Nazarovo,56.0064,90.3914,-11.27,87,100,11.05,RU,1613005171
Necochea,-38.5473,-58.7368,63.0,90,0,5.99,AR,1613005171
Pirgos,35.1167,25.7178,55.0,77,0,8.19,GR,1613005171
Vaini,-21.2,-175.2,84.2,79,40,11.5,TO,1613005171
Tonalá,20.6167,-103.2333,78.8,13,20,9.22,MX,1613005171
Nouadhibou,20.931,-17.0347,64.4,72,0,17.27,MR,1613005171
Thompson,55.7435,-97.8558,-22.0,69,75,4.61,CA,1613005172
Tuktoyaktuk,69.4541,-133.0374,-25.6,75,20,18.41,CA,1613005172
Barrow,71.2906,-156.7887,-32.8,85,1,8.05,US,1613005172
Bima,-8.4667,118.7167,83.37,75,100,0.78,ID,1613005172
Jamestown,42.097,-79.2353,19.0,79,90,3.44,US,1613005172
Esperance,-33.8667,121.9,64.4,59,90,16.11,AU,1613005172
Hithadhoo,-0.6,73.0833,81.25,81,7,13.44,MV,1613005172
Punta,8.9897,125.34,82.92,74,95,4.79,PH,1613005172
Bredasdorp,-34.5322,20.0403,64.4,94,13,3.44,ZA,1613005172
Resistencia,-27.4606,-58.9839,73.99,100,0,4.61,AR,1613005173
Yar-Sale,66.8333,70.8333,-22.85,85,90,13.8,RU,1613005173
Albany,42.6001,-73.9662,23.0,46,100,3.0,US,1613005173
Nome,64.5011,-165.4064,-5.8,45,1,18.41,US,1613005174
Torbay,47.6666,-52.7314,23.0,68,90,26.46,CA,1613005174
Touros,-5.1989,-35.4608,80.6,78,40,10.36,BR,1613005174
